Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
132,0.5625,-0.5625,-1,-0.06201172,0.03076172,0.9672852,0.01611328,0.190918,-0.6904297
133,0,-0.0625,-0.625,-0.03076172,0.03076172,0.9594727,0.01611328,0.190918,-0.6904297
134,0,0,-1.125,-0.03076172,0.007324219,0.9672852,0.01611328,0.190918,-0.6904297
135,0.375,0.75,-0.625,-0.04248047,0.03466797,0.9711914,0.01757813,0.1992188,-0.6904297
136,0.1875,0.25,-0.6875,-0.03466797,0.04638672,0.9672852,0.01757813,0.1992188,-0.6904297
137,-0.0625,0.4375,-0.375,-0.05029297,0.03466797,0.9633789,0.01757813,0.1992188,-0.6904297
138,0.0625,0.6875,-1.125,-0.04248047,0.03857422,0.9594727,0.01513672,0.1977539,-0.6918945
139,0.0625,0.625,-0.875,-0.05810547,0.05029297,0.9868164,0.01513672,0.1977539,-0.6918945
140,0,0.1875,-0.6875,-0.05419922,0.04638672,0.9868164,0.01513672,0.1977539,-0.6918945
141,0.4375,0.75,-0.9375,-0.06982422,0.01904297,0.9829102,0.0234375,0.190918,-0.6972656
142,-0.1875,1,-0.75,-0.03076172,0.05029297,0.9711914,0.0234375,0.190918,-0.6972656
143,0.25,0.875,-0.75,-0.05029297,0.04638672,0.9868164,0.0234375,0.190918,-0.6972656
144,0.0625,0.875,-0.875,-0.03466797,0.05810547,0.9829102,0.0234375,0.190918,-0.6972656
145,0.125,0.5,-1.0625,-0.06591797,0.02685547,0.9672852,0.02441406,0.1953125,-0.6918945
146,0.3125,0.4375,-1.25,-0.05810547,0.03857422,0.9438477,0.02441406,0.1953125,-0.6918945
147,0.1875,0.5625,-1.0625,-0.06201172,0.04248047,0.9633789,0.02441406,0.1953125,-0.6918945
148,0,0.8125,-0.875,-0.04248047,0.03076172,0.9829102,0.02099609,0.1943359,-0.6875
149,0.0625,0.375,-1.1875,-0.03857422,0.03466797,0.9750977,0.02099609,0.1943359,-0.6875
150,-0.25,0.5,-0.8125,-0.04638672,0.01513672,0.9672852,0.02099609,0.1943359,-0.6875
151,0.6875,1,-1.125,-0.06201172,0.03857422,0.9633789,0.02685547,0.1943359,-0.6948242
152,-0.5625,0.6875,-1.125,-0.04248047,0.03076172,0.9829102,0.02685547,0.1943359,-0.6948242
153,0.125,1.5625,-1.125,-0.04248047,0.06201172,0.9633789,0.02685547,0.1943359,-0.6948242
154,-0.1875,1.4375,-1,-0.04638672,0.02294922,0.9555664,0.02685547,0.1943359,-0.6948242
