Packet number,Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
905,-0.622813949,0.582848583,9.435461785
907,0.249913744,-0.310655039,9.199716844
908,0.752449437,-0.432960043,9.955826209
910,0.33730898,-0.181275693,10.46780532
911,-0.639781664,-0.45662083,9.407548369
913,-0.686907301,0.505095964,8.96592986
914,0.110807795,0.295521966,9.632243928
916,1.139603422,-0.279577032,10.09533857
917,1.152035343,-0.370996673,10.58608316
919,-0.289913637,-1.018842977,9.61987504
920,-2.250055303,-0.240011994,9.28458498
922,-1.274909168,1.789146389,9.826891271
923,0.001285869,0.480495198,9.775924011
925,1.072954429,-1.168665048,10.07302125
926,0.760732473,-0.762816683,10.14596782
928,-0.390006672,-0.426800489,8.9801464
929,-0.754360234,0.832085134,9.0720379
931,-0.316434139,0.603911804,9.949083583
932,0.776136644,-1.555043347,9.952910845
934,0.990599422,-1.310359106,9.956324278
935,0.177407046,-0.232113149,9.049541868
937,-0.830580018,1.054892076,9.32062
938,-0.669993866,0.34271195,9.436813584
940,0.374374157,-0.233819578,10.41314115
941,0.662941373,-1.251135493,10.31802967
943,0.402380919,0.604600978,9.931892802
944,-0.31214205,1.029914699,9.317033788
946,-0.506652381,0.219421427,9.358422658
947,-0.214314558,-0.975524386,9.43159477
949,0.392038203,-0.416717452,10.14966071
950,0.259765418,-0.540540423,9.718847701
952,-0.194281976,0.79571247,9.497266196
953,-0.119725294,1.358195351,9.672173179
955,0.148191094,-0.707844642,9.2639874
956,0.722414857,-1.229940194,9.700755804
958,0.392904913,-0.735602257,9.375992606
959,-0.199605062,0.603677537,9.484448197
961,-0.822393242,0.525266337,9.528217674
962,-0.89012857,0.616118326,10.07173725
964,-0.06252024,-0.597854672,9.983449278
965,0.617828859,-0.841083341,9.901777575
967,0.553705012,-0.040215014,9.822147175
968,-0.02367252,-0.321749816,9.055700492
970,-0.09509357,-0.445417829,8.956681466
971,-0.327377682,-0.349206836,9.537878583
973,-0.64882665,-0.011470606,10.21822123
975,-0.359915342,0.494448732,10.40158874
977,0.251845555,0.343845674,10.10282059
978,0.804905331,-0.282575648,9.235250865
980,1.016014046,0.224456331,9.028832465
981,-0.006181786,-0.597603075,9.009320021
983,-1.264710378,0.124471289,9.287173406
984,-1.267528465,0.982609636,9.100526712
986,0.036156846,1.149723745,9.188216554
987,0.891686735,0.16805119,9.331937081
